ubicageo_f,rnspni1,divter1,divter2,divter3,divter4,divter5
19021,3,NA,NA,NA,NA,NA
19022,0,NA,NA,NA,NA,NA
19023,0,NA,NA,NA,NA,NA
19024,0,NA,NA,NA,NA,NA
19025,0,NA,NA,NA,NA,NA
19026,1,0,2,0,0,0
19027,0,NA,NA,NA,NA,NA
19028,0,NA,NA,NA,NA,NA
19029,0,NA,NA,NA,NA,NA
19030,0,NA,NA,NA,NA,NA
19031,1,0,6,0,0,0
19032,0,NA,NA,NA,NA,NA
19033,0,NA,NA,NA,NA,NA
19034,0,NA,NA,NA,NA,NA
19035,0,NA,NA,NA,NA,NA
19036,0,NA,NA,NA,NA,NA
19037,0,NA,NA,NA,NA,NA
19038,0,NA,NA,NA,NA,NA
19039,1,12,27,60,0,0
19040,0,NA,NA,NA,NA,NA
19041,1,0,0,0,0,0
19042,97,NSS,NSS,NSS,NSS,NSS
19043,0,NA,NA,NA,NA,NA
19044,0,NA,NA,NA,NA,NA
19045,0,NA,NA,NA,NA,NA
19046,1,3,80,0,0,0
19047,97,NSS,NSS,NSS,NSS,NSS
19048,1,19,15,4,4,NA
19049,1,0,10,0,0,0
19050,0,NA,NA,NA,NA,NA
19051,97,NSS,NSS,NSS,NSS,NSS
20001,0,NA,NA,NA,NA,NA
20002,0,NA,NA,NA,NA,NA
20003,0,NA,NA,NA,NA,NA
20004,0,NA,NA,NA,NA,NA
20005,0,NA,NA,NA,NA,NA
20006,0,NA,NA,NA,NA,NA
20007,0,NA,NA,NA,NA,NA
20008,0,NA,NA,NA,NA,NA
20009,0,NA,NA,NA,NA,NA
20010,0,NA,NA,NA,NA,NA
