ubicageo_f,numeral,nombre1,colonia1,latitud1,longitu1,correo1,telefo1
1001,1,COMPLEJO DE SEGURIDAD PUBLICA,LA TERRAZA,21.968521,-102.275851,HECTORSALDIVAR_9@HOTMAIL.COM,449 994 66 00
1001,2,DELEGACION POCITOS,SAN PABLO,21.895971,-102.299821,HECTORSALDIVAR_9@HOTMAIL.COM,449 994 66 00
1001,3,DELEGACION JESUS TERAN,PROGRESO,21.906831,-102.262031,HECTORSALDIVAR_9@HOTMAIL.COM,449 994 66 00
1001,4,DELEGACION INSURGENTES,INSURGENTES,21.849361,-102.318911,HECTORSALDIVAR_9@HOTMAIL.COM,449 994 66 00
1001,5,GRUPO DE POLICIA MONTADA,DESARROLLO ESPECIAL OJOCALIENTE,21.875631,-102.256290,HECTORSALDIVAR_9@HOTMAIL.COM,449 994 66 00
1001,6,BINOMIO CANINO,DESARROLLO ESPECIAL PARQUE ECOLOGICO MEXICO,21.917881,-102.274451,HECTORSALDIVAR_9@HOTMAIL.COM,449 994 66 00
1001,7,POLICIA DE ATENCION A LA VIOLENCIA DE GENERO,MORELOS 1,21.854951,-102.259821,HECTORSALDIVAR_9@HOTMAIL.COM,449 994 66 00
1001,8,UNIDAD DE ATENCION A LA VIOLENCIA DE GENERO Y FAMILIAR,MORELOS 1,21.854951,-102.259821,HECTORSALDIVAR_9@HOTMAIL.COM,449 994 66 00
1001,9,GRUPO DE OPERACIONES Y SERVICIOS AEREOS,CIUDAD INDUSTRIAL,21.935811,-102.285861,HECTORSALDIVAR_9@HOTMAIL.COM,449 994 66 00
1002,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD,JUVENTUD,22.234410,-102.091600,SEG.PUB.ASIENTOSAGS@GMAIL.COM,4969674008
1003,1,SECRETARIA DE SEGURIDAD PUBLICA Y VIALIDAD DEL MUNICIPIO DE CALVILLO,INDEPENDENCIA,21.844401,-102.730890,SEGURIDADPUBLICA@CALVILLO.GOB.MX,4959561247
1004,1,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD DEL MUNICIPIO DE COSIO,POPULAR,22.361622,-102.297075,DIRSEGCOSIO@HOTMAIL.COM,4589871352
1005,1,COMANDANCIA OPERATIVA,VISTA HERMOSA,21.959162,-102.346625,RMAXEL020921@GMAIL.COM,4493404075
1006,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL DE PABELLON DE ARTEAGA AGUASCALIENTES,PLUTARCO ELIAS CALLES,22.144570,-102.285660,PROFESIONALIZACION.PA@GMAIL.COM,465 958 0670
1007,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD,SOLIDARIDAD,22.223400,-102.325090,SEGURIDADRRA@HOTMAIL.COM,4658514336
1008,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL,CENTRO,22.150738,-102.415968,SEGURIDADPUBLICA.SANJOSEDEGRACIA@HOTMAIL.COM,4659673574
1009,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD,LUIS ORTEGA DOUGLAS,22.219560,-102.163610,SEGURIDAD.PUBLICA.TEPEZALA@HOTMAIL.COM,4659512076
1010,1,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD EL LLANO,PALO ALTO,21.921569,-101.970200,SEGURIDADPUBLICAELLLANO.VAZQUEZ@HOTMAIL.COM,4969673366
1011,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL,LA CERRADA SAN FRANCISCO,22.067150,-102.270260,DIRECCIONDESEGURIDADPUBLICASRF@GMAIL.COM,4659674208
1011,2,SUBCOMANDANCIA LA RIBERA,LA RIVERA,21.957130,-102.254230,DIRECCIONDESEGURIDADPUBLICASRF@GMAIL.COM,NO APLICA
