ubicageo_f,rangedad_i,sexostt,sexos1,sexos2,sexos3,sexosne
4006,8,8,8,0,0,
4006,9,0,0,0,0,
4006,10,0,0,0,0,
4006,11,0,0,0,0,
4006,12,0,0,0,0,
4006,13,0,0,0,0,
4006,91,,,,,
4006,92,,,,,
4006,99,,,,,
4007,1,0,0,0,0,
4007,2,1,0,1,0,
4007,3,4,4,0,0,
4007,4,15,15,0,0,
4007,5,9,9,0,0,
4007,6,6,6,0,0,
4007,7,0,0,0,0,
4007,8,4,4,0,0,
4007,9,1,1,0,0,
4007,10,0,0,0,0,
4007,11,0,0,0,0,
4007,12,0,0,0,0,
4007,13,0,0,0,0,
4007,91,,,,,
4007,92,,,,,
4007,99,,,,,
4008,1,NA,NA,NA,NA,
4008,2,NA,NA,NA,NA,
4008,3,NA,NA,NA,NA,
4008,4,NA,NA,NA,NA,
4008,5,NA,NA,NA,NA,
4008,6,NA,NA,NA,NA,
4008,7,NA,NA,NA,NA,
4008,8,NA,NA,NA,NA,
4008,9,NA,NA,NA,NA,
4008,10,NA,NA,NA,NA,
4008,11,NA,NA,NA,NA,
4008,12,NA,NA,NA,NA,
4008,13,NA,NA,NA,NA,
4008,91,,,,,
4008,92,,,,,
4008,99,,,,,
4009,1,0,0,0,0,
4009,2,0,0,0,0,
4009,3,0,0,0,0,
4009,4,14,10,4,0,
4009,5,29,25,4,0,
4009,6,14,12,2,0,
4009,7,40,38,2,0,
4009,8,39,39,0,0,
4009,9,8,6,2,0,
4009,10,5,5,0,0,
4009,11,1,1,0,0,
4009,12,2,2,0,0,
4009,13,0,0,0,0,
4009,91,,,,,
4009,92,,,,,
4009,99,,,,,
4010,1,0,0,0,0,
4010,2,0,0,0,0,
4010,3,0,0,0,0,
4010,4,0,0,0,0,
4010,5,0,0,0,0,
4010,6,10,10,0,0,
4010,7,0,0,0,0,
4010,8,0,0,0,0,
4010,9,10,10,0,0,
4010,10,0,0,0,0,
4010,11,0,0,0,0,
4010,12,0,0,0,0,
4010,13,0,0,0,0,
4010,91,,,,,
4010,92,,,,,
4010,99,,,,,
4011,1,0,0,0,0,
4011,2,0,0,0,0,
4011,3,0,0,0,0,
4011,4,0,0,0,0,
4011,5,10,10,0,0,
4011,6,0,0,0,0,
4011,7,6,6,0,0,
4011,8,0,0,0,0,
4011,9,0,0,0,0,
4011,10,5,5,0,0,
4011,11,0,0,0,0,
4011,12,0,0,0,0,
4011,13,0,0,0,0,
4011,91,,,,,
4011,92,,,,,
4011,99,,,,,
4012,1,NA,NA,NA,NA,
4012,2,NA,NA,NA,NA,
4012,3,NA,NA,NA,NA,
4012,4,NA,NA,NA,NA,
4012,5,NA,NA,NA,NA,
4012,6,NA,NA,NA,NA,
4012,7,NA,NA,NA,NA,
4012,8,NA,NA,NA,NA,
4012,9,NA,NA,NA,NA,
4012,10,NA,NA,NA,NA,
4012,11,NA,NA,NA,NA,
4012,12,NA,NA,NA,NA,
4012,13,NA,NA,NA,NA,
4012,91,,,,,
4012,92,,,,,
4012,99,,,,,
4013,1,NA,NA,NA,NA,
4013,2,NA,NA,NA,NA,
4013,3,NA,NA,NA,NA,
4013,4,NA,NA,NA,NA,
4013,5,NA,NA,NA,NA,
4013,6,NA,NA,NA,NA,
4013,7,NA,NA,NA,NA,
4013,8,NA,NA,NA,NA,
4013,9,NA,NA,NA,NA,
4013,10,NA,NA,NA,NA,
4013,11,NA,NA,NA,NA,
4013,12,NA,NA,NA,NA,
4013,13,NA,NA,NA,NA,
4013,91,,,,,
4013,92,,,,,
4013,99,,,,,
5001,1,NA,NA,NA,NA,
5001,2,NA,NA,NA,NA,
5001,3,NA,NA,NA,NA,
5001,4,NA,NA,NA,NA,
5001,5,NA,NA,NA,NA,
5001,6,NA,NA,NA,NA,
5001,7,NA,NA,NA,NA,
5001,8,NA,NA,NA,NA,
5001,9,NA,NA,NA,NA,
5001,10,NA,NA,NA,NA,
5001,11,NA,NA,NA,NA,
5001,12,NA,NA,NA,NA,
5001,13,NA,NA,NA,NA,
5001,91,,,,,
5001,92,,,,,
5001,99,,,,,
5002,1,0,0,0,0,
5002,2,0,0,0,0,
5002,3,0,0,0,0,
5002,4,0,0,0,0,
5002,5,0,0,0,0,
5002,6,0,0,0,0,
5002,7,0,0,0,0,
5002,8,0,0,0,0,
5002,9,0,0,0,0,
5002,10,0,0,0,0,
5002,11,0,0,0,0,
5002,12,0,0,0,0,
5002,13,1371,0,0,1371,
5002,91,,,,,
5002,92,,,,,
5002,99,,,,,
5003,1,0,0,0,0,
5003,2,0,0,0,0,
5003,3,NSS,0,0,NSS,
5003,4,NSS,0,0,NSS,
5003,5,NSS,0,0,NSS,
5003,6,NSS,0,0,NSS,
5003,7,NSS,0,0,NSS,
5003,8,NSS,0,0,NSS,
5003,9,NSS,0,0,NSS,
5003,10,NSS,0,0,NSS,
5003,11,NSS,0,0,NSS,
5003,12,NSS,0,0,NSS,
5003,13,0,0,0,0,
5003,91,0,0,0,0,
5003,92,20,,,20,
5003,99,,,,,
5004,1,NA,NA,NA,NA,
5004,2,NA,NA,NA,NA,
5004,3,NA,NA,NA,NA,
5004,4,NA,NA,NA,NA,
5004,5,NA,NA,NA,NA,
5004,6,NA,NA,NA,NA,
5004,7,NA,NA,NA,NA,
5004,8,NA,NA,NA,NA,
5004,9,NA,NA,NA,NA,
5004,10,NA,NA,NA,NA,
5004,11,NA,NA,NA,NA,
5004,12,NA,NA,NA,NA,
5004,13,NA,NA,NA,NA,
5004,91,,,,,
5004,92,,,,,
5004,99,,,,,
5005,1,NA,NA,NA,NA,
5005,2,NA,NA,NA,NA,
5005,3,NA,NA,NA,NA,
5005,4,NA,NA,NA,NA,
5005,5,NA,NA,NA,NA,
5005,6,NA,NA,NA,NA,
5005,7,NA,NA,NA,NA,
5005,8,NA,NA,NA,NA,
5005,9,NA,NA,NA,NA,
5005,10,NA,NA,NA,NA,
5005,11,NA,NA,NA,NA,
5005,12,NA,NA,NA,NA,
5005,13,NA,NA,NA,NA,
5005,91,,,,,
5005,92,,,,,
5005,99,,,,,
5006,1,0,0,0,0,
5006,2,3,3,0,0,
5006,3,2,2,0,0,
5006,4,5,5,0,0,
5006,5,4,4,0,0,
5006,6,4,4,0,0,
5006,7,6,6,0,0,
5006,8,2,2,0,0,
5006,9,3,3,0,0,
5006,10,3,2,1,0,
5006,11,3,3,0,0,
5006,12,1,1,0,0,
5006,13,0,0,0,0,
5006,91,,,,,
5006,92,,,,,
5006,99,,,,,
5007,1,0,0,0,0,
5007,2,2,2,0,0,
5007,3,5,5,0,0,
5007,4,7,7,0,0,
5007,5,9,8,1,0,
5007,6,9,9,0,0,
5007,7,6,5,1,0,
5007,8,3,3,0,0,
5007,9,7,7,0,0,
5007,10,3,3,0,0,
5007,11,1,1,0,0,
5007,12,2,2,0,0,
5007,13,0,0,0,0,
5007,91,,,,,
5007,92,,,,,
5007,99,,,,,
5008,1,NA,NA,NA,NA,
5008,2,NA,NA,NA,NA,
5008,3,NA,NA,NA,NA,
5008,4,NA,NA,NA,NA,
5008,5,NA,NA,NA,NA,
5008,6,NA,NA,NA,NA,
5008,7,NA,NA,NA,NA,
5008,8,NA,NA,NA,NA,
5008,9,NA,NA,NA,NA,
5008,10,NA,NA,NA,NA,
5008,11,NA,NA,NA,NA,
5008,12,NA,NA,NA,NA,
5008,13,NA,NA,NA,NA,
5008,91,,,,,
5008,92,,,,,
5008,99,,,,,
5009,1,0,0,0,0,
5009,2,7,7,0,0,
5009,3,NSS,NSS,NSS,0,
5009,4,NSS,NSS,NSS,0,
5009,5,NSS,NSS,NSS,0,
5009,6,NSS,NSS,NSS,0,
5009,7,NSS,NSS,NSS,0,
5009,8,NSS,NSS,NSS,0,
5009,9,NSS,NSS,NSS,0,
5009,10,NSS,NSS,NSS,0,
5009,11,NSS,NSS,NSS,0,
5009,12,NSS,NSS,NSS,0,
5009,13,0,0,0,0,
5009,91,,,,,
5009,92,218,201,17,,
5009,99,,,,,
5010,1,NA,NA,NA,NA,
5010,2,NA,NA,NA,NA,
5010,3,NA,NA,NA,NA,
5010,4,NA,NA,NA,NA,
5010,5,NA,NA,NA,NA,
5010,6,NA,NA,NA,NA,
5010,7,NA,NA,NA,NA,
5010,8,NA,NA,NA,NA,
5010,9,NA,NA,NA,NA,
5010,10,NA,NA,NA,NA,
5010,11,NA,NA,NA,NA,
5010,12,NA,NA,NA,NA,
5010,13,NA,NA,NA,NA,
5010,91,,,,,
5010,92,,,,,
5010,99,,,,,
5011,1,0,0,0,0,
5011,2,0,0,0,0,
5011,3,NSS,NSS,0,0,
5011,4,NSS,NSS,0,0,
5011,5,NSS,NSS,0,0,
5011,6,NSS,NSS,0,0,
5011,7,NSS,NSS,0,0,
5011,8,NSS,NSS,0,0,
5011,9,NSS,NSS,0,0,
5011,10,NSS,NSS,0,0,
5011,11,NSS,NSS,0,0,
5011,12,NSS,NSS,0,0,
5011,13,0,0,0,0,
5011,91,,,,,
5011,92,26,26,,,
5011,99,,,,,
5012,1,NA,NA,NA,NA,
5012,2,NA,NA,NA,NA,
5012,3,NA,NA,NA,NA,
5012,4,NA,NA,NA,NA,
5012,5,NA,NA,NA,NA,
5012,6,NA,NA,NA,NA,
5012,7,NA,NA,NA,NA,
5012,8,NA,NA,NA,NA,
5012,9,NA,NA,NA,NA,
5012,10,NA,NA,NA,NA,
5012,11,NA,NA,NA,NA,
5012,12,NA,NA,NA,NA,
5012,13,NA,NA,NA,NA,
5012,91,,,,,
5012,92,,,,,
5012,99,,,,,
5013,1,NA,NA,NA,NA,
5013,2,NA,NA,NA,NA,
5013,3,NA,NA,NA,NA,
5013,4,NA,NA,NA,NA,
5013,5,NA,NA,NA,NA,
5013,6,NA,NA,NA,NA,
5013,7,NA,NA,NA,NA,
5013,8,NA,NA,NA,NA,
5013,9,NA,NA,NA,NA,
5013,10,NA,NA,NA,NA,
5013,11,NA,NA,NA,NA,
5013,12,NA,NA,NA,NA,
5013,13,NA,NA,NA,NA,
5013,91,,,,,
5013,92,,,,,
5013,99,,,,,
5014,1,0,0,0,0,
5014,2,0,0,0,0,
5014,3,18,15,3,0,
5014,4,21,19,2,0,
5014,5,24,21,3,0,
5014,6,22,18,4,0,
5014,7,18,18,0,0,
5014,8,20,18,2,0,
5014,9,12,12,0,0,
5014,10,8,8,0,0,
5014,11,8,8,0,0,
5014,12,15,15,0,0,
5014,13,0,0,0,0,
5014,91,,,,,
5014,92,,,,,
5014,99,,,,,
5015,1,NA,NA,NA,NA,
5015,2,NA,NA,NA,NA,
5015,3,NA,NA,NA,NA,
5015,4,NA,NA,NA,NA,
5015,5,NA,NA,NA,NA,
5015,6,NA,NA,NA,NA,
5015,7,NA,NA,NA,NA,
5015,8,NA,NA,NA,NA,
5015,9,NA,NA,NA,NA,
5015,10,NA,NA,NA,NA,
5015,11,NA,NA,NA,NA,
5015,12,NA,NA,NA,NA,
5015,13,NA,NA,NA,NA,
5015,91,,,,,
5015,92,,,,,
5015,99,,,,,
5016,1,0,0,0,0,
5016,2,0,0,0,0,
5016,3,0,0,0,0,
5016,4,0,0,0,0,
5016,5,0,0,0,0,
5016,6,2,2,0,0,
5016,7,0,0,0,0,
5016,8,0,0,0,0,
5016,9,0,0,0,0,
5016,10,0,0,0,0,
5016,11,0,0,0,0,
5016,12,0,0,0,0,
5016,13,0,0,0,0,
5016,91,,,,,
5016,92,,,,,
5016,99,,,,,
5017,1,0,0,0,0,
5017,2,0,0,0,0,
5017,3,0,0,0,0,
5017,4,NSS,NSS,NSS,NSS,
5017,5,NSS,NSS,NSS,NSS,
5017,6,NSS,NSS,NSS,NSS,
5017,7,NSS,NSS,NSS,NSS,
5017,8,NSS,NSS,NSS,NSS,
5017,9,NSS,NSS,NSS,NSS,
5017,10,NSS,NSS,NSS,NSS,
5017,11,NSS,NSS,NSS,NSS,
5017,12,NSS,NSS,NSS,NSS,
5017,13,0,0,0,0,
5017,91,,,,,
5017,92,913,611,16,286,
5017,99,,,,,
5018,1,0,0,0,0,
5018,2,4,4,0,0,
5018,3,28,28,0,0,
5018,4,35,33,2,0,
5018,5,76,71,5,0,
5018,6,72,66,6,0,
5018,7,85,82,3,0,
5018,8,73,66,7,0,
5018,9,60,60,0,0,
5018,10,15,15,0,0,
5018,11,24,24,0,0,
5018,12,2,2,0,0,
5018,13,0,0,0,0,
5018,91,,,,,
5018,92,,,,,
5018,99,,,,,
5019,1,0,0,0,0,
5019,2,0,0,0,0,
5019,3,10,9,1,0,
5019,4,15,13,2,0,
5019,5,17,15,2,0,
5019,6,8,8,0,0,
5019,7,10,10,0,0,
5019,8,5,5,0,0,
5019,9,5,5,0,0,
5019,10,5,5,0,0,
5019,11,0,0,0,0,
5019,12,0,0,0,0,
5019,13,0,0,0,0,
5019,91,,,,,
5019,92,,,,,
5019,99,,,,,
5020,1,2,2,0,0,
5020,2,13,13,0,0,
5020,3,45,44,1,0,
5020,4,133,123,10,0,
5020,5,140,137,3,0,
5020,6,86,82,4,0,
5020,7,83,80,3,0,
5020,8,55,54,1,0,
5020,9,32,30,2,0,
5020,10,10,10,0,0,
5020,11,4,4,0,0,
5020,12,8,8,0,0,
5020,13,0,0,0,0,
5020,91,,,,,
5020,92,,,,,
5020,99,,,,,
5021,1,7,0,0,7,
5021,2,1,0,0,1,
5021,3,0,0,0,0,
5021,4,1,0,0,1,
5021,5,3,0,0,3,
5021,6,3,0,0,3,
5021,7,2,0,0,2,
5021,8,0,0,0,0,
5021,9,0,0,0,0,
5021,10,0,0,0,0,
5021,11,0,0,0,0,
5021,12,0,0,0,0,
5021,13,0,0,0,0,
5021,91,,,,,
5021,92,,,,,
5021,99,,,,,
5022,1,1,1,0,0,
5022,2,11,10,1,0,
5022,3,18,18,0,0,
5022,4,100,100,0,0,
5022,5,95,90,5,0,
5022,6,55,50,5,0,
5022,7,22,17,5,0,
5022,8,23,23,0,0,
5022,9,9,9,0,0,
5022,10,6,6,0,0,
5022,11,9,9,0,0,
5022,12,8,8,0,0,
5022,13,0,0,0,0,
5022,91,,,,,
5022,92,,,,,
5022,99,,,,,
5023,1,0,0,0,0,
5023,2,0,0,0,0,
5023,3,0,0,0,0,
5023,4,2,2,0,0,
5023,5,5,5,0,0,
5023,6,3,3,0,0,
5023,7,1,1,0,0,
5023,8,3,3,0,0,
5023,9,0,0,0,0,
5023,10,0,0,0,0,
