ubicageo_f,montos1,montos2
19018,15958150.47,4366004.92
19019,49505813.32,171134045.85
19020,NSS,NSS
19021,NA,NA
19022,314379,0
19023,NA,NA
19024,500,0
19025,NA,NA
19026,86052718.11,177476030.47
19027,22522,0
19028,NA,NA
19029,NSS,NSS
19030,17386.53,0
19031,18145587.32,12281574.98
19032,NSS,NSS
19033,NA,NA
19034,NA,NA
19035,0,NSS
19036,4350,0
19037,NA,NA
19038,NA,NA
19039,1277819963.68,1681353759
19040,NA,NA
19041,2872927,0
19042,NSS,NSS
19043,NA,NA
19044,NA,NA
19045,NSS,NSS
19046,NA,NA
19047,NA,NA
19048,11608287.68,12280427.82
19049,NSS,NSS
19050,NA,NA
19051,62018,21580
20001,NA,NA
20002,NA,NA
20003,NA,NA
20004,NA,NA
20005,NA,NA
20006,NA,NA
20007,NA,NA
20008,NA,NA
20009,NA,NA
20010,NA,NA
20011,NA,NA
20012,NA,NA
20013,NA,NA
20014,NA,NA
20015,NA,NA
20016,NA,NA
20017,NA,NA
20018,NA,NA
20019,NA,NA
20020,NA,NA
20021,NA,NA
20022,NA,NA
20023,NSS,NSS
20024,NA,NA
20025,NA,NA
20026,17750,0
20027,NA,NA
20028,NA,NA
20029,NA,NA
20030,NA,NA
20031,NA,NA
20032,NA,NA
20033,NA,NA
20034,NA,NA
20035,NA,NA
20036,NA,NA
20037,NA,NA
20038,NA,NA
20039,86100,0
20040,NA,NA
20041,NA,NA
20042,NA,NA
20043,NA,NA
20044,NA,NA
20045,NA,NA
20046,NA,NA
20047,NA,NA
20048,NA,NA
20049,NA,NA
20050,NA,NA
20051,NA,NA
20052,NA,NA
20053,NA,NA
20054,NA,NA
20055,NA,NA
20056,NA,NA
20057,NA,NA
20058,NA,NA
20059,NA,NA
20060,NA,NA
20061,NA,NA
20062,NA,NA
20063,NA,NA
20064,NA,NA
20065,NA,NA
20066,NA,NA
20067,NSS,NSS
20068,NA,NA
20069,NA,NA
20070,NA,NA
20071,NA,NA
20072,NA,NA
20073,NA,NA
20074,NA,NA
20075,NA,NA
20076,NA,NA
20077,NA,NA
20078,NA,NA
20079,11546.8,5638
20080,NA,NA
20081,NA,NA
20082,NA,NA
20083,NA,NA
20084,NA,NA
20085,NA,NA
20086,NA,NA
20087,NA,NA
20088,NA,NA
20089,NA,NA
20090,NA,NA
20091,NA,NA
20092,NA,NA
20093,NA,NA
20094,NA,NA
20095,NA,NA
20096,NA,NA
20097,NA,NA
20098,NA,NA
20099,NA,NA
20100,NA,NA
20101,NA,NA
20102,NA,NA
20103,NA,NA
20104,NA,NA
20105,NA,NA
20106,NA,NA
20107,NA,NA
20108,NA,NA
20109,NA,NA
20110,NA,NA
20111,NA,NA
20112,NA,NA
20113,NA,NA
20114,NA,NA
20115,NA,NA
20116,NA,NA
20117,NA,NA
20118,NA,NA
20119,NA,NA
20120,NA,NA
20121,NA,NA
20122,NA,NA
20123,NA,NA
20124,NA,NA
20125,NA,NA
20126,NA,NA
20127,NA,NA
20128,NA,NA
20129,NA,NA
20130,NA,NA
20131,NA,NA
20132,NA,NA
20133,NA,NA
20134,NA,NA
20135,NA,NA
20136,NA,NA
20137,NA,NA
20138,NA,NA
20139,NA,NA
20140,NA,NA
20141,NA,NA
20142,NA,NA
20143,NA,NA
20144,NA,NA
20145,NA,NA
20146,NA,NA
20147,NA,NA
20148,NA,NA
20149,NA,NA
20150,2000,0
20151,NA,NA
20152,NA,NA
20153,NA,NA
20154,NA,NA
20155,NA,NA
20156,NA,NA
20157,NA,NA
20158,NA,NA
20159,NA,NA
20160,NA,NA
20161,NA,NA
20162,NA,NA
20163,NA,NA
20164,NA,NA
20165,NA,NA
20166,NA,NA
20167,NA,NA
20168,NA,NA
20169,NA,NA
20170,NA,NA
20171,NA,NA
20172,NA,NA
20173,NA,NA
20174,NA,NA
20175,NA,NA
20176,NA,NA
20177,14000,0
20178,NA,NA
20179,NA,NA
20180,NA,NA
20181,NA,NA
20182,NA,NA
20183,NA,NA
20184,NA,NA
20185,NA,NA
20186,NA,NA
20187,NA,NA
20188,NA,NA
20189,NA,NA
20190,NA,NA
20191,NA,NA
20192,NA,NA
20193,NA,NA
20194,NA,NA
20195,NA,NA
20196,NA,NA
20197,NA,NA
20198,NA,NA
20199,NA,NA
20200,NA,NA
20201,NA,NA
20202,NA,NA
20203,NA,NA
20204,NA,NA
20205,NA,NA
20206,NA,NA
20207,NA,NA
20208,NA,NA
20209,NA,NA
20210,NA,NA
20211,NA,NA
20212,NA,NA
20213,NA,NA
20214,NA,NA
20215,NA,NA
20216,NA,NA
20217,NA,NA
20218,NA,NA
20219,NA,NA
20220,NA,NA
20221,NA,NA
20222,NA,NA
20223,NA,NA
20224,NA,NA
20225,NA,NA
20226,NA,NA
20227,NA,NA
20228,NA,NA
20229,NA,NA
20230,NA,NA
20231,NA,NA
20232,NA,NA
20233,NA,NA
20234,NA,NA
20235,NA,NA
20236,NA,NA
20237,NA,NA
20238,NA,NA
20239,NA,NA
20240,NA,NA
20241,NA,NA
20242,NA,NA
20243,NA,NA
20244,NA,NA
20245,NA,NA
20246,NA,NA
20247,NA,NA
20248,NA,NA
20249,NA,NA
20250,NA,NA
20251,NA,NA
20252,NA,NA
20253,NA,NA
20254,NA,NA
20255,NA,NA
20256,NA,NA
20257,NA,NA
20258,NA,NA
20259,NA,NA
20260,NA,NA
20261,NA,NA
20262,NA,NA
20263,NA,NA
20264,NA,NA
20265,NA,NA
20266,NA,NA
20267,NA,NA
20268,NA,NA
20269,NA,NA
20270,NSS,NSS
20271,NA,NA
20272,NA,NA
20273,NA,NA
20274,NA,NA
20275,NA,NA
20276,NA,NA
20277,NA,NA
20278,NA,NA
20279,NA,NA
20280,NA,NA
20281,NA,NA
20282,NA,NA
20283,NA,NA
20284,NA,NA
20285,NA,NA
20286,NA,NA
20287,NA,NA
20288,NA,NA
20289,NA,NA
20290,NA,NA
20291,NA,NA
20292,NA,NA
20293,NA,NA
20294,NA,NA
20295,NA,NA
20296,NA,NA
20297,NA,NA
20298,NA,NA
20299,NA,NA
20300,NA,NA
20301,NA,NA
20302,NA,NA
20303,NA,NA
20304,NA,NA
20305,NA,NA
20306,NA,NA
20307,NA,NA
20308,NA,NA
20309,NA,NA
20310,NA,NA
20311,NA,NA
20312,NA,NA
20313,NA,NA
20314,NA,NA
20315,NA,NA
20316,NA,NA
20317,NA,NA
20318,NA,NA
20319,NA,NA
20320,NA,NA
20321,NA,NA
20322,NA,NA
20323,NA,NA
20324,88364,0
20325,NA,NA
20326,NA,NA
20327,NA,NA
20328,NA,NA
20329,NA,NA
20330,NA,NA
20331,NA,NA
20332,NA,NA
20333,NA,NA
20334,NA,NA
20335,NA,NA
20336,NA,NA
20337,NA,NA
20338,NA,NA
20339,NA,NA
20340,NA,NA
20341,NA,NA
20342,NA,NA
20343,NA,NA
20344,NA,NA
20345,NA,NA
20346,NA,NA
20347,NA,NA
20348,NA,NA
20349,NA,NA
20350,NA,NA
20351,NA,NA
20352,NA,NA
20353,NA,NA
20354,NA,NA
20355,NA,NA
20356,NA,NA
20357,NA,NA
20358,NA,NA
20359,NA,NA
20360,NA,NA
20361,NA,NA
20362,NA,NA
20363,NA,NA
20364,NA,NA
20365,NA,NA
20366,NA,NA
20367,NA,NA
20368,NA,NA
20369,NA,NA
20370,NA,NA
20371,NA,NA
20372,NA,NA
20373,NA,NA
20374,NA,NA
20375,NSS,NSS
20376,NA,NA
20377,NA,NA
20378,NA,NA
20379,NA,NA
20380,NA,NA
20381,NA,NA
20382,NA,NA
20383,NA,NA
20384,NA,NA
20385,3780337.61,0
20386,NA,NA
20387,NA,NA
20388,NA,NA
20389,NA,NA
20390,30250,2000
20391,NA,NA
20392,NA,NA
20393,NA,NA
20394,NA,NA
20395,NA,NA
20396,NA,NA
20397,1263140,0
20398,NA,NA
20399,NA,NA
20400,NA,NA
20401,NA,NA
20402,NA,NA
20403,NA,NA
20404,NA,NA
20405,NA,NA
20406,NA,NA
20407,NA,NA
20408,NA,NA
20409,NA,NA
20410,NA,NA
20411,NA,NA
20412,NA,NA
20413,NA,NA
20414,NA,NA
20415,NA,NA
20416,NA,NA
20417,NA,NA
20418,NA,NA
20419,NA,NA
20420,NA,NA
20421,NA,NA
20422,NA,NA
20423,NA,NA
20424,NA,NA
20425,NA,NA
20426,NA,NA
20427,NA,NA
20428,NA,NA
20429,NA,NA
20430,NA,NA
20431,NA,NA
20432,NA,NA
20433,NA,NA
20434,NA,NA
20435,NA,NA
20436,NA,NA
20437,NA,NA
20438,NA,NA
20439,NA,NA
20440,NA,NA
20441,NA,NA
20442,NA,NA
20443,NA,NA
20444,NA,NA
20445,NA,NA
20446,NA,NA
20447,NA,NA
20448,NA,NA
20449,NA,NA
20450,NA,NA
20451,NA,NA
20452,NA,NA
20453,NA,NA
20454,NA,NA
20455,NA,NA
20456,NA,NA
20457,NA,NA
20458,NA,NA
20459,NA,NA
20460,NA,NA
20461,NA,NA
20462,NA,NA
20463,NA,NA
20464,NA,NA
20465,NA,NA
20466,NA,NA
20467,NA,NA
20468,NA,NA
20469,NA,NA
20470,NA,NA
20471,NA,NA
20472,NA,NA
20473,NA,NA
20474,NA,NA
20475,NA,NA
20476,NA,NA
20477,NA,NA
20478,NA,NA
20479,NA,NA
20480,NA,NA
20481,NA,NA
20482,NA,NA
20483,NA,NA
20484,NA,NA
20485,NA,NA
20486,NA,NA
20487,NA,NA
20488,NA,NA
20489,NA,NA
