ubicageo_f,tipoinfo_i,siaplica
2007,1,NA
2007,2,NA
2007,3,NA
2007,4,NA
2007,5,NA
2007,6,NA
2007,7,NA
2007,8,NA
2007,9,NA
2007,10,NA
2007,11,NA
2007,12,NA
2007,13,NA
2007,14,NA
2007,15,NA
2007,16,NA
2007,17,NA
2007,99,NA
3001,1,NA
3001,2,NA
3001,3,NA
3001,4,NA
3001,5,NA
3001,6,NA
3001,7,NA
3001,8,NA
3001,9,NA
3001,10,NA
3001,11,NA
3001,12,NA
3001,13,NA
3001,14,NA
3001,15,NA
3001,16,NA
3001,17,NA
3001,99,NA
3002,1,
3002,2,
3002,3,
3002,4,1
3002,5,1
3002,6,
3002,7,
3002,8,
3002,9,
3002,10,
3002,11,
3002,12,
3002,13,
3002,14,
3002,15,
3002,16,
3002,17,
3002,99,
3003,1,NA
3003,2,NA
3003,3,NA
3003,4,NA
3003,5,NA
3003,6,NA
3003,7,NA
3003,8,NA
3003,9,NA
3003,10,NA
3003,11,NA
3003,12,NA
3003,13,NA
3003,14,NA
3003,15,NA
3003,16,NA
3003,17,NA
3003,99,NA
3008,1,
3008,2,
3008,3,
3008,4,
3008,5,
3008,6,
3008,7,
3008,8,
3008,9,
3008,10,
3008,11,
3008,12,
3008,13,
3008,14,
3008,15,
3008,16,
3008,17,
3008,99,1
3009,1,NA
3009,2,NA
3009,3,NA
3009,4,NA
3009,5,NA
3009,6,NA
3009,7,NA
3009,8,NA
3009,9,NA
3009,10,NA
3009,11,NA
3009,12,NA
3009,13,NA
3009,14,NA
3009,15,NA
3009,16,NA
3009,17,NA
3009,99,NA
4001,1,NA
4001,2,NA
4001,3,NA
4001,4,NA
4001,5,NA
4001,6,NA
4001,7,NA
4001,8,NA
4001,9,NA
4001,10,NA
4001,11,NA
4001,12,NA
4001,13,NA
4001,14,NA
4001,15,NA
4001,16,NA
4001,17,NA
4001,99,NA
4002,1,NA
4002,2,NA
4002,3,NA
4002,4,NA
4002,5,NA
4002,6,NA
4002,7,NA
4002,8,NA
4002,9,NA
4002,10,NA
4002,11,NA
4002,12,NA
4002,13,NA
4002,14,NA
4002,15,NA
4002,16,NA
4002,17,NA
4002,99,NA
4003,1,NA
4003,2,NA
4003,3,NA
4003,4,NA
4003,5,NA
4003,6,NA
4003,7,NA
4003,8,NA
4003,9,NA
4003,10,NA
4003,11,NA
4003,12,NA
4003,13,NA
4003,14,NA
4003,15,NA
4003,16,NA
4003,17,NA
4003,99,NA
4004,1,
4004,2,1
4004,3,1
4004,4,1
4004,5,1
4004,6,
4004,7,1
4004,8,
4004,9,1
4004,10,
4004,11,
4004,12,1
4004,13,
4004,14,
4004,15,
4004,16,
4004,17,
4004,99,
4005,1,NA
4005,2,NA
4005,3,NA
4005,4,NA
4005,5,NA
4005,6,NA
4005,7,NA
4005,8,NA
4005,9,NA
4005,10,NA
4005,11,NA
4005,12,NA
4005,13,NA
4005,14,NA
4005,15,NA
4005,16,NA
4005,17,NA
4005,99,NA
4006,1,NA
4006,2,NA
4006,3,NA
4006,4,NA
4006,5,NA
4006,6,NA
4006,7,NA
4006,8,NA
4006,9,NA
4006,10,NA
4006,11,NA
4006,12,NA
4006,13,NA
4006,14,NA
4006,15,NA
4006,16,NA
4006,17,NA
4006,99,NA
4007,1,NA
4007,2,NA
4007,3,NA
4007,4,NA
4007,5,NA
4007,6,NA
4007,7,NA
4007,8,NA
4007,9,NA
4007,10,NA
4007,11,NA
4007,12,NA
4007,13,NA
4007,14,NA
4007,15,NA
4007,16,NA
4007,17,NA
4007,99,NA
4008,1,NA
4008,2,NA
4008,3,NA
4008,4,NA
4008,5,NA
4008,6,NA
4008,7,NA
4008,8,NA
4008,9,NA
4008,10,NA
4008,11,NA
4008,12,NA
4008,13,NA
4008,14,NA
4008,15,NA
4008,16,NA
4008,17,NA
4008,99,NA
4009,1,
4009,2,1
4009,3,1
4009,4,1
4009,5,1
4009,6,1
4009,7,1
4009,8,1
4009,9,1
4009,10,
4009,11,
4009,12,1
4009,13,
4009,14,
4009,15,
4009,16,
4009,17,
4009,99,
4010,1,NA
4010,2,NA
4010,3,NA
4010,4,NA
4010,5,NA
4010,6,NA
4010,7,NA
4010,8,NA
4010,9,NA
4010,10,NA
4010,11,NA
4010,12,NA
4010,13,NA
4010,14,NA
4010,15,NA
4010,16,NA
4010,17,NA
4010,99,NA
4011,1,NA
4011,2,NA
4011,3,NA
4011,4,NA
4011,5,NA
4011,6,NA
4011,7,NA
4011,8,NA
4011,9,NA
4011,10,NA
4011,11,NA
4011,12,NA
4011,13,NA
4011,14,NA
4011,15,NA
4011,16,NA
4011,17,NA
4011,99,NA
4012,1,NA
4012,2,NA
4012,3,NA
4012,4,NA
4012,5,NA
4012,6,NA
4012,7,NA
4012,8,NA
4012,9,NA
4012,10,NA
4012,11,NA
4012,12,NA
4012,13,NA
4012,14,NA
4012,15,NA
4012,16,NA
4012,17,NA
4012,99,NA
4013,1,NA
4013,2,NA
4013,3,NA
4013,4,NA
4013,5,NA
4013,6,NA
4013,7,NA
4013,8,NA
4013,9,NA
4013,10,NA
4013,11,NA
4013,12,NA
4013,13,NA
4013,14,NA
4013,15,NA
4013,16,NA
4013,17,NA
4013,99,NA
5001,1,NA
5001,2,NA
5001,3,NA
5001,4,NA
5001,5,NA
5001,6,NA
5001,7,NA
5001,8,NA
5001,9,NA
5001,10,NA
5001,11,NA
5001,12,NA
5001,13,NA
5001,14,NA
5001,15,NA
5001,16,NA
5001,17,NA
5001,99,NA
5002,1,NA
5002,2,NA
5002,3,NA
5002,4,NA
5002,5,NA
5002,6,NA
5002,7,NA
5002,8,NA
5002,9,NA
5002,10,NA
5002,11,NA
5002,12,NA
5002,13,NA
5002,14,NA
5002,15,NA
5002,16,NA
5002,17,NA
5002,99,NA
5003,1,NA
5003,2,NA
5003,3,NA
5003,4,NA
5003,5,NA
5003,6,NA
5003,7,NA
5003,8,NA
5003,9,NA
5003,10,NA
5003,11,NA
5003,12,NA
5003,13,NA
5003,14,NA
5003,15,NA
5003,16,NA
5003,17,NA
5003,99,NA
5004,1,NA
5004,2,NA
5004,3,NA
5004,4,NA
5004,5,NA
5004,6,NA
5004,7,NA
5004,8,NA
5004,9,NA
5004,10,NA
5004,11,NA
5004,12,NA
5004,13,NA
5004,14,NA
5004,15,NA
5004,16,NA
5004,17,NA
5004,99,NA
5005,1,NA
5005,2,NA
5005,3,NA
5005,4,NA
5005,5,NA
5005,6,NA
5005,7,NA
5005,8,NA
5005,9,NA
5005,10,NA
5005,11,NA
5005,12,NA
5005,13,NA
5005,14,NA
5005,15,NA
5005,16,NA
5005,17,NA
5005,99,NA
5006,1,NA
5006,2,NA
5006,3,NA
5006,4,NA
5006,5,NA
5006,6,NA
5006,7,NA
5006,8,NA
5006,9,NA
5006,10,NA
5006,11,NA
5006,12,NA
5006,13,NA
5006,14,NA
5006,15,NA
5006,16,NA
5006,17,NA
5006,99,NA
5007,1,NA
5007,2,NA
5007,3,NA
5007,4,NA
5007,5,NA
5007,6,NA
5007,7,NA
5007,8,NA
5007,9,NA
5007,10,NA
5007,11,NA
5007,12,NA
5007,13,NA
5007,14,NA
5007,15,NA
5007,16,NA
5007,17,NA
5007,99,NA
5008,1,NA
5008,2,NA
5008,3,NA
5008,4,NA
5008,5,NA
5008,6,NA
5008,7,NA
5008,8,NA
5008,9,NA
5008,10,NA
5008,11,NA
5008,12,NA
5008,13,NA
5008,14,NA
5008,15,NA
5008,16,NA
5008,17,NA
5008,99,NA
5009,1,NA
5009,2,NA
5009,3,NA
5009,4,NA
5009,5,NA
5009,6,NA
5009,7,NA
5009,8,NA
5009,9,NA
5009,10,NA
5009,11,NA
5009,12,NA
5009,13,NA
5009,14,NA
5009,15,NA
5009,16,NA
5009,17,NA
5009,99,NA
5010,1,NA
5010,2,NA
5010,3,NA
5010,4,NA
5010,5,NA
5010,6,NA
5010,7,NA
5010,8,NA
5010,9,NA
5010,10,NA
5010,11,NA
5010,12,NA
5010,13,NA
5010,14,NA
5010,15,NA
5010,16,NA
5010,17,NA
5010,99,NA
5011,1,NA
5011,2,NA
5011,3,NA
5011,4,NA
5011,5,NA
5011,6,NA
5011,7,NA
5011,8,NA
5011,9,NA
5011,10,NA
5011,11,NA
5011,12,NA
5011,13,NA
5011,14,NA
5011,15,NA
5011,16,NA
5011,17,NA
5011,99,NA
5012,1,NA
5012,2,NA
5012,3,NA
5012,4,NA
5012,5,NA
5012,6,NA
5012,7,NA
5012,8,NA
5012,9,NA
5012,10,NA
5012,11,NA
5012,12,NA
5012,13,NA
5012,14,NA
5012,15,NA
5012,16,NA
5012,17,NA
5012,99,NA
5013,1,NA
5013,2,NA
5013,3,NA
5013,4,NA
5013,5,NA
5013,6,NA
5013,7,NA
5013,8,NA
5013,9,NA
5013,10,NA
5013,11,NA
5013,12,NA
5013,13,NA
5013,14,NA
5013,15,NA
5013,16,NA
5013,17,NA
5013,99,NA
5014,1,NA
5014,2,NA
5014,3,NA
5014,4,NA
5014,5,NA
5014,6,NA
5014,7,NA
5014,8,NA
5014,9,NA
5014,10,NA
5014,11,NA
5014,12,NA
5014,13,NA
5014,14,NA
5014,15,NA
5014,16,NA
5014,17,NA
5014,99,NA
5015,1,NA
5015,2,NA
5015,3,NA
5015,4,NA
5015,5,NA
5015,6,NA
5015,7,NA
5015,8,NA
5015,9,NA
5015,10,NA
5015,11,NA
5015,12,NA
5015,13,NA
5015,14,NA
5015,15,NA
5015,16,NA
5015,17,NA
5015,99,NA
5016,1,NA
5016,2,NA
5016,3,NA
5016,4,NA
5016,5,NA
5016,6,NA
5016,7,NA
5016,8,NA
5016,9,NA
5016,10,NA
5016,11,NA
5016,12,NA
5016,13,NA
5016,14,NA
5016,15,NA
5016,16,NA
5016,17,NA
5016,99,NA
5017,1,NA
5017,2,NA
5017,3,NA
5017,4,NA
5017,5,NA
5017,6,NA
5017,7,NA
5017,8,NA
5017,9,NA
5017,10,NA
5017,11,NA
5017,12,NA
5017,13,NA
5017,14,NA
5017,15,NA
5017,16,NA
5017,17,NA
5017,99,NA
5018,1,NA
5018,2,NA
5018,3,NA
5018,4,NA
5018,5,NA
5018,6,NA
5018,7,NA
5018,8,NA
5018,9,NA
5018,10,NA
5018,11,NA
5018,12,NA
5018,13,NA
5018,14,NA
5018,15,NA
5018,16,NA
5018,17,NA
5018,99,NA
5019,1,NA
5019,2,NA
5019,3,NA
5019,4,NA
5019,5,NA
5019,6,NA
5019,7,NA
5019,8,NA
5019,9,NA
5019,10,NA
5019,11,NA
5019,12,NA
5019,13,NA
5019,14,NA
5019,15,NA
5019,16,NA
5019,17,NA
5019,99,NA
5020,1,NA
5020,2,NA
5020,3,NA
5020,4,NA
5020,5,NA
5020,6,NA
5020,7,NA
5020,8,NA
5020,9,NA
5020,10,NA
5020,11,NA
5020,12,NA
5020,13,NA
5020,14,NA
5020,15,NA
5020,16,NA
5020,17,NA
5020,99,NA
5021,1,NA
5021,2,NA
5021,3,NA
5021,4,NA
5021,5,NA
5021,6,NA
5021,7,NA
5021,8,NA
5021,9,NA
5021,10,NA
5021,11,NA
5021,12,NA
5021,13,NA
5021,14,NA
5021,15,NA
5021,16,NA
5021,17,NA
5021,99,NA
5022,1,NA
5022,2,NA
5022,3,NA
5022,4,NA
5022,5,NA
5022,6,NA
5022,7,NA
5022,8,NA
5022,9,NA
5022,10,NA
5022,11,NA
5022,12,NA
5022,13,NA
5022,14,NA
5022,15,NA
5022,16,NA
5022,17,NA
5022,99,NA
5023,1,NA
5023,2,NA
5023,3,NA
5023,4,NA
5023,5,NA
5023,6,NA
5023,7,NA
5023,8,NA
5023,9,NA
5023,10,NA
5023,11,NA
5023,12,NA
5023,13,NA
5023,14,NA
5023,15,NA
5023,16,NA
5023,17,NA
5023,99,NA
5024,1,NA
5024,2,NA
5024,3,NA
5024,4,NA
5024,5,NA
5024,6,NA
5024,7,NA
5024,8,NA
5024,9,NA
5024,10,NA
5024,11,NA
5024,12,NA
5024,13,NA
5024,14,NA
5024,15,NA
5024,16,NA
5024,17,NA
5024,99,NA
5025,1,NA
5025,2,NA
5025,3,NA
5025,4,NA
5025,5,NA
5025,6,NA
5025,7,NA
5025,8,NA
5025,9,NA
5025,10,NA
5025,11,NA
5025,12,NA
5025,13,NA
5025,14,NA
5025,15,NA
5025,16,NA
5025,17,NA
5025,99,NA
5026,1,NA
5026,2,NA
5026,3,NA
5026,4,NA
5026,5,NA
5026,6,NA
5026,7,NA
5026,8,NA
5026,9,NA
5026,10,NA
5026,11,NA
5026,12,NA
5026,13,NA
5026,14,NA
5026,15,NA
5026,16,NA
5026,17,NA
5026,99,NA
5027,1,NA
5027,2,NA
5027,3,NA
5027,4,NA
5027,5,NA
5027,6,NA
5027,7,NA
5027,8,NA
5027,9,NA
5027,10,NA
5027,11,NA
5027,12,NA
5027,13,NA
5027,14,NA
5027,15,NA
5027,16,NA
5027,17,NA
5027,99,NA
5028,1,NA
5028,2,NA
5028,3,NA
5028,4,NA
5028,5,NA
5028,6,NA
5028,7,NA
5028,8,NA
5028,9,NA
5028,10,NA
5028,11,NA
5028,12,NA
5028,13,NA
5028,14,NA
5028,15,NA
5028,16,NA
5028,17,NA
5028,99,NA
5029,1,NA
5029,2,NA
5029,3,NA
5029,4,NA
5029,5,NA
5029,6,NA
5029,7,NA
5029,8,NA
5029,9,NA
5029,10,NA
5029,11,NA
5029,12,NA
5029,13,NA
5029,14,NA
5029,15,NA
5029,16,NA
5029,17,NA
5029,99,NA
5030,1,
5030,2,1
5030,3,1
5030,4,1
5030,5,1
5030,6,
5030,7,1
5030,8,
5030,9,
5030,10,
5030,11,
5030,12,1
5030,13,
5030,14,
5030,15,1
5030,16,
5030,17,
5030,99,
5031,1,NA
5031,2,NA
5031,3,NA
5031,4,NA
5031,5,NA
5031,6,NA
5031,7,NA
5031,8,NA
5031,9,NA
5031,10,NA
5031,11,NA
5031,12,NA
5031,13,NA
5031,14,NA
5031,15,NA
5031,16,NA
5031,17,NA
5031,99,NA
5032,1,NA
5032,2,NA
5032,3,NA
5032,4,NA
5032,5,NA
5032,6,NA
5032,7,NA
5032,8,NA
5032,9,NA
5032,10,NA
5032,11,NA
5032,12,NA
5032,13,NA
5032,14,NA
5032,15,NA
5032,16,NA
5032,17,NA
5032,99,NA
5033,1,
5033,2,1
5033,3,1
5033,4,1
5033,5,1
5033,6,
5033,7,1
5033,8,1
5033,9,1
5033,10,
5033,11,
5033,12,1
5033,13,1
5033,14,
5033,15,
5033,16,
5033,17,
5033,99,
5034,1,NA
5034,2,NA
5034,3,NA
5034,4,NA
5034,5,NA
5034,6,NA
5034,7,NA
5034,8,NA
5034,9,NA
5034,10,NA
5034,11,NA
5034,12,NA
5034,13,NA
5034,14,NA
5034,15,NA
5034,16,NA
5034,17,NA
5034,99,NA
5035,1,
5035,2,
5035,3,
5035,4,
5035,5,1
5035,6,1
5035,7,
5035,8,
5035,9,
5035,10,1
5035,11,
5035,12,
5035,13,
5035,14,
5035,15,
5035,16,
5035,17,
5035,99,
5036,1,NA
5036,2,NA
5036,3,NA
5036,4,NA
5036,5,NA
5036,6,NA
5036,7,NA
5036,8,NA
5036,9,NA
5036,10,NA
5036,11,NA
5036,12,NA
5036,13,NA
5036,14,NA
5036,15,NA
5036,16,NA
5036,17,NA
5036,99,NA
5037,1,NA
5037,2,NA
5037,3,NA
5037,4,NA
5037,5,NA
5037,6,NA
5037,7,NA
5037,8,NA
5037,9,NA
5037,10,NA
5037,11,NA
5037,12,NA
5037,13,NA
5037,14,NA
5037,15,NA
5037,16,NA
5037,17,NA
5037,99,NA
5038,1,NA
5038,2,NA
5038,3,NA
5038,4,NA
5038,5,NA
5038,6,NA
5038,7,NA
5038,8,NA
5038,9,NA
5038,10,NA
5038,11,NA
5038,12,NA
5038,13,NA
5038,14,NA
5038,15,NA
5038,16,NA
5038,17,NA
5038,99,NA
6001,1,1
6001,2,1
6001,3,1
6001,4,1
6001,5,1
6001,6,1
6001,7,1
6001,8,1
6001,9,1
6001,10,
6001,11,
6001,12,
6001,13,
6001,14,1
6001,15,1
6001,16,
6001,17,
6001,99,
6002,1,1
6002,2,1
6002,3,1
6002,4,1
6002,5,1
6002,6,1
6002,7,1
6002,8,1
6002,9,1
6002,10,
6002,11,
6002,12,1
6002,13,
6002,14,
6002,15,
6002,16,
6002,17,
6002,99,
6003,1,NA
6003,2,NA
6003,3,NA
6003,4,NA
6003,5,NA
6003,6,NA
6003,7,NA
6003,8,NA
6003,9,NA
6003,10,NA
6003,11,NA
6003,12,NA
6003,13,NA
6003,14,NA
6003,15,NA
6003,16,NA
6003,17,NA
6003,99,NA
6004,1,NA
6004,2,NA
6004,3,NA
6004,4,NA
6004,5,NA
6004,6,NA
6004,7,NA
6004,8,NA
6004,9,NA
6004,10,NA
6004,11,NA
6004,12,NA
6004,13,NA
6004,14,NA
6004,15,NA
6004,16,NA
6004,17,NA
6004,99,NA
6005,1,NA
6005,2,NA
6005,3,NA
6005,4,NA
6005,5,NA
6005,6,NA
6005,7,NA
6005,8,NA
6005,9,NA
6005,10,NA
6005,11,NA
6005,12,NA
6005,13,NA
6005,14,NA
6005,15,NA
6005,16,NA
6005,17,NA
6005,99,NA
6006,1,NA
6006,2,NA
6006,3,NA
6006,4,NA
6006,5,NA
6006,6,NA
6006,7,NA
6006,8,NA
6006,9,NA
6006,10,NA
6006,11,NA
6006,12,NA
6006,13,NA
6006,14,NA
6006,15,NA
6006,16,NA
6006,17,NA
6006,99,NA
6007,1,
6007,2,1
6007,3,
6007,4,
6007,5,1
6007,6,
6007,7,
6007,8,1
6007,9,
6007,10,
6007,11,
6007,12,
6007,13,
6007,14,
6007,15,
6007,16,
6007,17,
6007,99,
6008,1,NA
6008,2,NA
6008,3,NA
6008,4,NA
6008,5,NA
6008,6,NA
6008,7,NA
6008,8,NA
6008,9,NA
6008,10,NA
6008,11,NA
6008,12,NA
6008,13,NA
6008,14,NA
6008,15,NA
6008,16,NA
6008,17,NA
6008,99,NA
6009,1,1
6009,2,1
6009,3,1
6009,4,
6009,5,1
6009,6,
6009,7,
6009,8,1
6009,9,1
6009,10,
6009,11,
6009,12,1
6009,13,
6009,14,
6009,15,
6009,16,
6009,17,
6009,99,
6010,1,NA
6010,2,NA
6010,3,NA
6010,4,NA
6010,5,NA
6010,6,NA
6010,7,NA
6010,8,NA
6010,9,NA
6010,10,NA
6010,11,NA
6010,12,NA
6010,13,NA
6010,14,NA
6010,15,NA
6010,16,NA
6010,17,NA
6010,99,NA
7001,1,NA
7001,2,NA
7001,3,NA
7001,4,NA
7001,5,NA
7001,6,NA
7001,7,NA
7001,8,NA
7001,9,NA
7001,10,NA
7001,11,NA
7001,12,NA
7001,13,NA
7001,14,NA
7001,15,NA
7001,16,NA
7001,17,NA
7001,99,NA
7002,1,NA
7002,2,NA
7002,3,NA
7002,4,NA
7002,5,NA
7002,6,NA
7002,7,NA
7002,8,NA
7002,9,NA
7002,10,NA
7002,11,NA
7002,12,NA
7002,13,NA
7002,14,NA
7002,15,NA
7002,16,NA
7002,17,NA
7002,99,NA
7003,1,NA
7003,2,NA
7003,3,NA
7003,4,NA
7003,5,NA
7003,6,NA
7003,7,NA
7003,8,NA
7003,9,NA
7003,10,NA
7003,11,NA
7003,12,NA
7003,13,NA
7003,14,NA
7003,15,NA
7003,16,NA
7003,17,NA
7003,99,NA
7004,1,NA
7004,2,NA
7004,3,NA
7004,4,NA
7004,5,NA
7004,6,NA
7004,7,NA
7004,8,NA
7004,9,NA
7004,10,NA
7004,11,NA
7004,12,NA
7004,13,NA
7004,14,NA
7004,15,NA
7004,16,NA
7004,17,NA
7004,99,NA
7005,1,NA
7005,2,NA
7005,3,NA
7005,4,NA
7005,5,NA
7005,6,NA
7005,7,NA
7005,8,NA
7005,9,NA
7005,10,NA
7005,11,NA
7005,12,NA
7005,13,NA
7005,14,NA
7005,15,NA
7005,16,NA
7005,17,NA
7005,99,NA
7006,1,NA
7006,2,NA
7006,3,NA
7006,4,NA
7006,5,NA
7006,6,NA
7006,7,NA
7006,8,NA
7006,9,NA
7006,10,NA
7006,11,NA
7006,12,NA
7006,13,NA
7006,14,NA
7006,15,NA
7006,16,NA
7006,17,NA
7006,99,NA
7007,1,NA
7007,2,NA
7007,3,NA
7007,4,NA
7007,5,NA
7007,6,NA
7007,7,NA
7007,8,NA
7007,9,NA
7007,10,NA
7007,11,NA
7007,12,NA
7007,13,NA
7007,14,NA
7007,15,NA
7007,16,NA
7007,17,NA
7007,99,NA
7008,1,NA
7008,2,NA
7008,3,NA
7008,4,NA
7008,5,NA
7008,6,NA
7008,7,NA
7008,8,NA
7008,9,NA
7008,10,NA
7008,11,NA
7008,12,NA
7008,13,NA
7008,14,NA
7008,15,NA
7008,16,NA
7008,17,NA
7008,99,NA
7009,1,NA
7009,2,NA
7009,3,NA
7009,4,NA
7009,5,NA
7009,6,NA
7009,7,NA
7009,8,NA
7009,9,NA
7009,10,NA
7009,11,NA
7009,12,NA
7009,13,NA
7009,14,NA
7009,15,NA
7009,16,NA
7009,17,NA
7009,99,NA
7010,1,NA
7010,2,NA
7010,3,NA
7010,4,NA
7010,5,NA
7010,6,NA
7010,7,NA
7010,8,NA
7010,9,NA
7010,10,NA
7010,11,NA
7010,12,NA
7010,13,NA
7010,14,NA
7010,15,NA
7010,16,NA
7010,17,NA
7010,99,NA
7011,1,NA
7011,2,NA
7011,3,NA
7011,4,NA
7011,5,NA
7011,6,NA
7011,7,NA
7011,8,NA
7011,9,NA
7011,10,NA
7011,11,NA
7011,12,NA
7011,13,NA
7011,14,NA
7011,15,NA
7011,16,NA
7011,17,NA
7011,99,NA
7012,1,NA
7012,2,NA
7012,3,NA
7012,4,NA
7012,5,NA
7012,6,NA
7012,7,NA
7012,8,NA
7012,9,NA
7012,10,NA
7012,11,NA
7012,12,NA
7012,13,NA
7012,14,NA
7012,15,NA
7012,16,NA
7012,17,NA
7012,99,NA
7013,1,NA
7013,2,NA
7013,3,NA
7013,4,NA
7013,5,NA
7013,6,NA
7013,7,NA
7013,8,NA
7013,9,NA
7013,10,NA
7013,11,NA
7013,12,NA
7013,13,NA
7013,14,NA
7013,15,NA
7013,16,NA
7013,17,NA
7013,99,NA
7014,1,NA
7014,2,NA
7014,3,NA
7014,4,NA
7014,5,NA
7014,6,NA
7014,7,NA
7014,8,NA
7014,9,NA
7014,10,NA
7014,11,NA
7014,12,NA
7014,13,NA
7014,14,NA
7014,15,NA
7014,16,NA
7014,17,NA
7014,99,NA
7015,1,NA
7015,2,NA
7015,3,NA
7015,4,NA
7015,5,NA
7015,6,NA
7015,7,NA
7015,8,NA
7015,9,NA
7015,10,NA
7015,11,NA
7015,12,NA
7015,13,NA
7015,14,NA
7015,15,NA
7015,16,NA
7015,17,NA
7015,99,NA
7016,1,NA
7016,2,NA
7016,3,NA
7016,4,NA
7016,5,NA
7016,6,NA
7016,7,NA
7016,8,NA
7016,9,NA
7016,10,NA
7016,11,NA
7016,12,NA
7016,13,NA
7016,14,NA
7016,15,NA
7016,16,NA
7016,17,NA
7016,99,NA
7017,1,NA
7017,2,NA
7017,3,NA
7017,4,NA
7017,5,NA
7017,6,NA
7017,7,NA
7017,8,NA
7017,9,NA
7017,10,NA
7017,11,NA
7017,12,NA
7017,13,NA
7017,14,NA
